Date,Open,High,Low,Close,Volume,Adj Close
2014-01-09,12020.00,12090.00,11900.00,12050.00,4300,2215.66
2014-01-08,11960.00,12020.00,11820.00,11980.00,7500,2202.79
2014-01-07,12000.00,12060.00,11850.00,11890.00,5700,2186.24
2014-01-06,11520.00,11690.00,11450.00,11490.00,3700,2112.69
2014-01-03,11210.00,11470.00,11210.00,11470.00,3500,2109.01
2014-01-02,11230.00,11310.00,11120.00,11280.00,4300,2074.08
2014-01-01,11180.00,11180.00,11180.00,11180.00,000,2055.69
2013-12-31,11180.00,11180.00,11180.00,11180.00,000,2055.69
2013-12-30,11180.00,11210.00,11130.00,11180.00,4700,2055.69
2013-12-27,11070.00,11180.00,10990.00,11150.00,4400,2050.17
2013-12-26,10900.00,10900.00,10900.00,10900.00,000,2004.20
2013-12-25,10900.00,10900.00,10900.00,10900.00,000,2004.20
2013-12-24,10900.00,10900.00,10900.00,10900.00,000,2004.20
2013-12-23,10660.00,10900.00,10660.00,10900.00,1300,2004.20
2013-12-20,10570.00,10770.00,10570.00,10770.00,7200,1980.30
2013-12-19,10500.00,10690.00,10500.00,10670.00,4900,1961.91
2013-12-18,10260.00,10500.00,10260.00,10500.00,4800,1930.66
2013-12-17,10270.00,10310.00,10230.00,10270.00,9500,1888.37
2013-12-16,10300.00,10320.00,10180.00,10250.00,7500,1884.69
2013-12-13,10340.00,10370.00,10220.00,10290.00,3400,1892.04
2013-12-12,10340.00,10350.00,10240.00,10320.00,2500,1897.56
2013-12-11,10320.00,10400.00,10220.00,10400.00,4100,1912.27
2013-12-10,10290.00,10350.00,10290.00,10310.00,2300,1895.72
2013-12-09,10320.00,10370.00,10280.00,10280.00,8300,1890.20
2013-12-06,10240.00,10340.00,10200.00,10300.00,2300,1893.88
2013-12-05,10270.00,10290.00,10210.00,10280.00,3400,1890.20
2013-12-04,10360.00,10380.00,10190.00,10290.00,3000,1892.04
2013-12-03,10490.00,10490.00,10330.00,10370.00,3800,1906.75
2013-12-02,10470.00,10540.00,10440.00,10440.00,2500,1919.62
2013-11-29,10420.00,10520.00,10410.00,10480.00,2400,1926.98
2013-11-28,10470.00,10490.00,10390.00,10410.00,3000,1914.11
2013-11-27,10360.00,10520.00,10360.00,10460.00,3700,1923.30
2013-11-26,10250.00,10430.00,10210.00,10320.00,14000,1897.56
2013-11-25,10200.00,10310.00,10140.00,10240.00,3600,1882.85
2013-11-22,10360.00,10450.00,10060.00,10120.00,6200,1860.78
2013-11-21,10290.00,10340.00,10250.00,10320.00,1500,1897.56
2013-11-20,10370.00,10390.00,10270.00,10330.00,3600,1899.40
2013-11-19,10360.00,10440.00,10320.00,10340.00,2800,1901.24
2013-11-18,10440.00,10470.00,10340.00,10440.00,1900,1919.62
2013-11-15,10460.00,10490.00,10400.00,10410.00,3500,1914.11
2013-11-14,10200.00,10460.00,10200.00,10380.00,4900,1908.59
2013-11-13,10280.00,10300.00,10050.00,10200.00,4100,1875.49
2013-11-12,10220.00,10240.00,10030.00,10120.00,3100,1860.78
2013-11-11,10130.00,10240.00,10080.00,10240.00,3300,1882.85
2013-11-08,9968.00,10120.00,9936.00,10120.00,3700,1860.78
2013-11-07,10030.00,10050.00,9960.00,9968.00,1300,1832.84
2013-11-06,10000.00,10030.00,9912.00,10030.00,3500,1844.24
2013-11-05,10000.00,10000.00,9896.00,9984.00,4300,1835.78
2013-11-04,10010.00,10040.00,9968.00,9968.00,2800,1832.84
2013-11-01,10000.00,10100.00,9976.00,10000.00,3300,1838.72
