STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
061800,99999, 19970203,   32.3,24,   30.3,24, 1022.0,24, 1021.4,24,   3.5,24,   8.6,24,  12.0,  15.9,   37.4*,  28.2 , 0.00E,999.9, 101000,
061800,99999, 19970204,   33.8,24,   31.5,24, 1008.5,24, 1007.9,24,   2.4,24,  16.3,24,  18.1, 999.9,   37.4*,  28.8 , 0.00B,999.9, 011000,
061800,99999, 19970205,   36.0,24,   31.6,24, 1008.1,24, 1007.5,24,   9.0,24,  13.1,24,  19.0,  28.0,   41.2 ,  32.0*, 0.04E,999.9, 010000,
061800,99999, 19970206,   36.8,24,   34.2,24, 1022.2,24, 1021.6,24,   4.9,24,  13.4,24,  15.9, 999.9,   41.7 ,  32.4 , 0.00D,999.9, 110000,
061800,99999, 19970207,   39.4,23,   36.0,23, 1017.7,23, 1017.1,23,   4.7,23,  17.4,23,  22.0,  32.1,   41.0*,  35.6*, 0.02F,999.9, 010000,
061800,99999, 19970208,   38.6,24,   33.8,24, 1020.5,24, 1019.9,24,   8.6,24,  16.9,24,  22.0,  35.0,   42.8 ,  34.9 , 0.00D,999.9, 000000,
061800,99999, 19970209,   36.7,24,   34.9,24, 1017.3,24, 1016.7,24,   4.0,24,  13.7,24,  16.9, 999.9,   39.6 ,  30.9 , 0.00D,999.9, 010000,
061800,99999, 19970210,   39.0,23,   37.2,23, 1007.7,23, 1007.1,23,   2.5,23,  14.3,23,  19.0,  28.9,   41.2 ,  36.3 , 0.00F,999.9, 110000,
061800,99999, 19970211,   38.3,24,   33.3,24, 1001.4,24, 1000.8,24,   8.4,24,  20.7,24,  28.0,  49.9,   42.4 ,  36.3 , 0.00E,999.9, 010000,
061800,99999, 19970212,   37.7,23,   36.3,23, 1000.4,23,  999.8,23,   4.0,23,  12.0,23,  15.0, 999.9,   41.5 ,  35.4 , 0.00E,999.9, 010000,
061800,99999, 19970213,   40.2,24,   38.5,24,  984.7,24,  984.1,24,   4.7,24,  12.7,24,  15.0, 999.9,   43.3 ,  35.4 , 0.02E,999.9, 110000,
061800,99999, 19970214,   33.0,24,   31.1,24,  989.9,24,  989.3,24,   3.4,24,  11.1,24,  18.1, 999.9,   39.4 ,  24.8*, 0.00F,999.9, 011000,
061800,99999, 19970215,   23.4,24,   17.3,24, 1012.3,24, 1011.7,24,   9.9,24,   7.0,24,  11.1, 999.9,   27.9 ,  21.2 , 0.00E,999.9, 000000,
061800,99999, 19970216,   20.4,24,   12.6,24, 1028.7,24, 1028.1,24,  11.5,24,   8.2,24,  13.0, 999.9,   25.3 ,  16.3 , 0.00D,999.9, 000000,
061800,99999, 19970217,   28.2,24,   21.7,24, 1025.2,24, 1024.6,24,  10.2,24,  19.9,24,  22.9,  32.1,   32.0*,  20.1 , 0.00D,999.9, 000000,
061800,99999, 19970218,   34.0,24,   31.9,24, 1005.6,24, 1005.0,24,   4.6,24,  18.2,24,  22.9,  33.0,   37.8 ,  29.3 , 0.04E,999.9, 011000,
061800,99999, 19970219,   38.1,24,   32.4,24, 1008.9,24, 1008.3,24,   9.0,24,  17.7,24,  25.1,  37.9,   44.6*,  33.8*, 0.00E,999.9, 010000,
061800,99999, 19970220,   39.0,24,   33.8,24, 1002.1,24, 1001.5,24,   6.8,24,  20.0,24,  27.0,  42.0,   44.6 ,  32.0 , 0.10F,999.9, 011000,
061800,99999, 19970221,   41.7,24,   35.9,24, 1003.8,24, 1003.2,24,   7.3,24,  23.4,24,  29.9,  43.9,   45.9 ,  37.2 , 0.08F,999.9, 011000,
061800,99999, 19970222,   40.7,24,   37.9,24, 1016.5,24, 1015.9,24,   7.1,24,  14.9,24,  22.0,  34.0,   45.9 ,  35.8 , 0.01E,999.9, 010000,
061800,99999, 19970223,   42.7,24,   39.7,24, 1009.9,24, 1009.3,24,   6.4,24,  13.5,24,  15.9, 999.9,   45.5 ,  39.0 , 0.00D,999.9, 000000,
061800,99999, 19970224,   41.4,24,   39.2,24,  997.0,24,  996.4,24,   5.4,24,  14.8,24,  19.0,  27.0,   44.6*,  37.4*, 0.00C,999.9, 010000,
061800,99999, 19970225,   43.9,24,   37.9,24,  982.2,24,  981.6,24,   8.5,24,  23.7,24,  31.9,  42.0,   48.4 ,  37.9 , 0.04E,999.9, 010000,
