Date,Open,High,Low,Close,Volume,Adj Close
2014-02-04,638.91,638.91,638.91,638.91,000,638.91
2014-02-03,647.85,647.85,647.85,647.85,000,647.85
2014-01-31,647.19,647.19,647.19,647.19,000,647.19
2014-01-30,638.76,638.76,638.76,638.76,000,638.76
2014-01-29,624.16,624.16,624.16,624.16,000,624.16
2014-01-28,628.72,628.72,628.72,628.72,000,628.72
2014-01-27,624.85,624.85,624.85,624.85,000,624.85
2014-01-24,639.54,639.54,639.54,639.54,000,639.54
2014-01-23,647.93,647.93,647.93,647.93,000,647.93
2014-01-22,651.24,651.24,651.24,651.24,000,651.24
2014-01-21,655.04,655.04,655.04,655.04,000,655.04
2014-01-20,650.23,650.23,650.23,650.23,000,650.23
2014-01-17,648.85,648.85,648.85,648.85,000,648.85
2014-01-16,648.82,648.82,648.82,648.82,000,648.82
2014-01-15,649.16,649.16,649.16,649.16,000,649.16
2014-01-14,645.84,645.84,645.84,645.84,000,645.84
2014-01-13,646.78,646.78,646.78,646.78,000,646.78
2014-01-10,645.98,645.98,645.98,645.98,000,645.98
2014-01-09,641.77,641.77,641.77,641.77,000,641.77
2014-01-08,639.11,639.11,639.11,639.11,000,639.11
2014-01-07,636.59,636.59,636.59,636.59,000,636.59
2014-01-06,629.45,629.45,629.45,629.45,000,629.45
2014-01-03,627.59,627.59,627.59,627.59,000,627.59
2014-01-02,620.04,620.04,620.04,620.04,000,620.04
2013-12-31,615.50,615.50,615.50,615.50,000,615.50
2013-12-30,615.50,615.50,615.50,615.50,000,615.50
2013-12-27,613.02,613.02,613.02,613.02,000,613.02
2013-12-23,606.43,606.43,606.43,606.43,000,606.43
2013-12-20,605.52,605.52,605.52,605.52,000,605.52
2013-12-19,599.04,599.04,599.04,599.04,000,599.04
2013-12-18,588.18,588.18,588.18,588.18,000,588.18
2013-12-17,583.61,583.61,583.61,583.61,000,583.61
2013-12-16,587.25,587.25,587.25,587.25,000,587.25
2013-12-13,584.52,584.52,584.52,584.52,000,584.52
2013-12-12,585.84,585.84,585.84,585.84,000,585.84
2013-12-11,592.54,592.54,592.54,592.54,000,592.54
2013-12-10,592.00,592.00,592.00,592.00,000,592.00
2013-12-09,593.26,593.26,593.26,593.26,000,593.26
2013-12-06,591.87,591.87,591.87,591.87,000,591.87
2013-12-05,592.55,592.55,592.55,592.55,000,592.55
2013-12-04,591.66,591.66,591.66,591.66,000,591.66
2013-12-03,598.47,598.47,598.47,598.47,000,598.47
2013-12-02,601.47,601.47,601.47,601.47,000,601.47
2013-11-29,601.63,601.63,601.63,601.63,000,601.63
2013-11-28,599.46,599.46,599.46,599.46,000,599.46
2013-11-27,589.78,589.78,589.78,589.78,000,589.78
2013-11-26,586.73,586.73,586.73,586.73,000,586.73
2013-11-25,588.60,588.60,588.60,588.60,000,588.60
2013-11-22,585.51,585.51,585.51,585.51,000,585.51
2013-11-21,588.33,588.33,588.33,588.33,000,588.33
2013-11-20,587.53,587.53,587.53,587.53,000,587.53
2013-11-19,590.70,590.70,590.70,590.70,000,590.70
2013-11-18,595.35,595.35,595.35,595.35,000,595.35
2013-11-15,590.76,590.76,590.76,590.76,000,590.76
2013-11-14,589.53,589.53,589.53,589.53,000,589.53
2013-11-13,585.36,585.36,585.36,585.36,000,585.36
2013-11-12,583.92,583.92,583.92,583.92,000,583.92
2013-11-11,587.83,587.83,587.83,587.83,000,587.83
2013-11-08,585.78,585.78,585.78,585.78,000,585.78
2013-11-07,587.78,587.78,587.78,587.78,000,587.78
2013-11-06,587.47,587.47,587.47,587.47,000,587.47
2013-11-05,577.30,577.30,577.30,577.30,000,577.30
2013-11-04,581.16,581.16,581.16,581.16,000,581.16
2013-11-01,580.37,580.37,580.37,580.37,000,580.37
2013-10-31,578.31,578.31,578.31,578.31,000,578.31
2013-10-30,593.28,593.28,593.28,593.28,000,593.28
2013-10-29,594.32,594.32,594.32,594.32,000,594.32
2013-10-28,591.11,591.11,591.11,591.11,000,591.11
2013-10-25,593.07,593.07,593.07,593.07,000,593.07
2013-10-24,595.46,595.46,595.46,595.46,000,595.46
2013-10-23,591.13,591.13,591.13,591.13,000,591.13
2013-10-22,592.53,592.53,592.53,592.53,000,592.53
2013-10-21,584.91,584.91,584.91,584.91,000,584.91
2013-10-18,581.54,581.54,581.54,581.54,000,581.54
2013-10-17,580.14,580.14,580.14,580.14,000,580.14
2013-10-16,578.76,578.76,578.76,578.76,000,578.76
2013-10-15,569.86,569.86,569.86,569.86,000,569.86
2013-10-14,570.39,570.39,570.39,570.39,000,570.39
2013-10-11,569.44,569.44,569.44,569.44,000,569.44
2013-10-10,568.88,568.88,568.88,568.88,000,568.88
2013-10-09,558.83,558.83,558.83,558.83,000,558.83
2013-10-08,563.27,563.27,563.27,563.27,000,563.27
2013-10-07,565.22,565.22,565.22,565.22,000,565.22
2013-10-04,564.91,564.91,564.91,564.91,000,564.91
2013-10-03,566.59,566.59,566.59,566.59,000,566.59
2013-10-02,564.82,564.82,564.82,564.82,000,564.82
2013-10-01,567.30,567.30,567.30,567.30,000,567.30
2013-09-30,565.85,565.85,565.85,565.85,000,565.85
2013-09-27,569.24,569.24,569.24,569.24,000,569.24
2013-09-26,567.53,567.53,567.53,567.53,000,567.53
2013-09-25,565.81,565.81,565.81,565.81,000,565.81
2013-09-24,570.46,570.46,570.46,570.46,000,570.46
2013-09-23,569.64,569.64,569.64,569.64,000,569.64
2013-09-20,577.47,577.47,577.47,577.47,000,577.47
2013-09-19,576.84,576.84,576.84,576.84,000,576.84
2013-09-18,568.90,568.90,568.90,568.90,000,568.90
2013-09-17,568.30,568.30,568.30,568.30,000,568.30
2013-09-16,569.30,569.30,569.30,569.30,000,569.30
2013-09-13,563.42,563.42,563.42,563.42,000,563.42
2013-09-12,565.25,565.25,565.25,565.25,000,565.25
2013-09-11,565.61,565.61,565.61,565.61,000,565.61
2013-09-10,566.04,566.04,566.04,566.04,000,566.04
2013-09-09,556.42,556.42,556.42,556.42,000,556.42
2013-09-06,552.83,552.83,552.83,552.83,000,552.83
2013-09-05,554.64,554.64,554.64,554.64,000,554.64
2013-09-04,554.34,554.34,554.34,554.34,000,554.34
2013-09-03,555.54,555.54,555.54,555.54,000,555.54
2013-09-02,560.92,560.92,560.92,560.92,000,560.92
2013-08-30,551.76,551.76,551.76,551.76,000,551.76
2013-08-29,557.26,557.26,557.26,557.26,000,557.26
2013-08-28,553.99,553.99,553.99,553.99,000,553.99
2013-08-27,557.54,557.54,557.54,557.54,000,557.54
2013-08-26,565.85,565.85,565.85,565.85,000,565.85
2013-08-23,565.49,565.49,565.49,565.49,000,565.49
2013-08-22,566.51,566.51,566.51,566.51,000,566.51
2013-08-21,565.34,565.34,565.34,565.34,000,565.34
2013-08-20,567.59,567.59,567.59,567.59,000,567.59
2013-08-19,570.37,570.37,570.37,570.37,000,570.37
2013-08-16,570.25,570.25,570.25,570.25,000,570.25
2013-08-15,563.44,563.44,563.44,563.44,000,563.44
2013-08-14,566.70,566.70,566.70,566.70,000,566.70
2013-08-13,568.07,568.07,568.07,568.07,000,568.07
2013-08-12,562.73,562.73,562.73,562.73,000,562.73
2013-08-09,560.43,560.43,560.43,560.43,000,560.43
2013-08-08,557.15,557.15,557.15,557.15,000,557.15
2013-08-07,554.36,554.36,554.36,554.36,000,554.36
2013-08-06,557.78,557.78,557.78,557.78,000,557.78
2013-08-05,563.99,563.99,563.99,563.99,000,563.99
2013-08-02,560.58,560.58,560.58,560.58,000,560.58
2013-08-01,560.72,560.72,560.72,560.72,000,560.72
2013-07-31,546.92,546.92,546.92,546.92,000,546.92
2013-07-30,547.16,547.16,547.16,547.16,000,547.16
2013-07-29,545.09,545.09,545.09,545.09,000,545.09
2013-07-26,542.87,542.87,542.87,542.87,000,542.87
2013-07-25,543.88,543.88,543.88,543.88,000,543.88
2013-07-24,546.81,546.81,546.81,546.81,000,546.81
2013-07-23,541.48,541.48,541.48,541.48,000,541.48
2013-07-22,537.53,537.53,537.53,537.53,000,537.53
2013-07-19,538.70,538.70,538.70,538.70,000,538.70
2013-07-18,540.90,540.90,540.90,540.90,000,540.90
2013-07-17,540.09,540.09,540.09,540.09,000,540.09
2013-07-16,534.06,534.06,534.06,534.06,000,534.06
2013-07-15,539.11,539.11,539.11,539.11,000,539.11
2013-07-12,540.62,540.62,540.62,540.62,000,540.62
2013-07-11,539.95,539.95,539.95,539.95,000,539.95
2013-07-10,537.47,537.47,537.47,537.47,000,537.47
2013-07-09,531.69,531.69,531.69,531.69,000,531.69
2013-07-08,533.01,533.01,533.01,533.01,000,533.01
2013-07-05,526.64,526.64,526.64,526.64,000,526.64
2013-07-04,525.76,525.76,525.76,525.76,000,525.76
2013-07-03,516.22,516.22,516.22,516.22,000,516.22
2013-07-02,519.71,519.71,519.71,519.71,000,519.71
2013-07-01,518.97,518.97,518.97,518.97,000,518.97
2013-06-28,512.03,512.03,512.03,512.03,000,512.03
2013-06-27,518.67,518.67,518.67,518.67,000,518.67
2013-06-26,510.80,510.80,510.80,510.80,000,510.80
2013-06-25,503.10,503.10,503.10,503.10,000,503.10
2013-06-24,493.90,493.90,493.90,493.90,000,493.90
2013-06-21,504.57,504.57,504.57,504.57,000,504.57
2013-06-20,506.66,506.66,506.66,506.66,000,506.66
2013-06-19,515.64,515.64,515.64,515.64,000,515.64
2013-06-18,521.25,521.25,521.25,521.25,000,521.25
2013-06-17,522.11,522.11,522.11,522.11,000,522.11
2013-06-14,526.84,526.84,526.84,526.84,000,526.84
2013-06-13,526.14,526.14,526.14,526.14,000,526.14
2013-06-12,527.27,527.27,527.27,527.27,000,527.27
2013-06-11,525.28,525.28,525.28,525.28,000,525.28
2013-06-10,528.78,528.78,528.78,528.78,000,528.78
2013-06-07,526.32,526.32,526.32,526.32,000,526.32
2013-06-06,527.67,527.67,527.67,527.67,000,527.67
2013-06-04,537.26,537.26,537.26,537.26,000,537.26
2013-06-03,533.48,533.48,533.48,533.48,000,533.48
2013-05-31,535.37,535.37,535.37,535.37,000,535.37
2013-05-30,543.91,543.91,543.91,543.91,000,543.91
2013-05-29,542.90,542.90,542.90,542.90,000,542.90
2013-05-28,552.21,552.21,552.21,552.21,000,552.21
2013-05-27,547.07,547.07,547.07,547.07,000,547.07
2013-05-24,544.48,544.48,544.48,544.48,000,544.48
2013-05-23,543.23,543.23,543.23,543.23,000,543.23
2013-05-22,553.85,553.85,553.85,553.85,000,553.85
2013-05-21,551.95,551.95,551.95,551.95,000,551.95
2013-05-17,551.23,551.23,551.23,551.23,000,551.23
2013-05-16,552.34,552.34,552.34,552.34,000,552.34
2013-05-15,556.79,556.79,556.79,556.79,000,556.79
2013-05-14,555.68,555.68,555.68,555.68,000,555.68
2013-05-13,550.66,550.66,550.66,550.66,000,550.66
2013-05-08,546.03,546.03,546.03,546.03,000,546.03
2013-05-07,542.22,542.22,542.22,542.22,000,542.22
2013-05-06,541.95,541.95,541.95,541.95,000,541.95
2013-05-03,538.96,538.96,538.96,538.96,000,538.96
2013-05-02,538.01,538.01,538.01,538.01,000,538.01
2013-05-01,536.69,536.69,536.69,536.69,000,536.69
2013-04-30,539.28,539.28,539.28,539.28,000,539.28
2013-04-29,538.93,538.93,538.93,538.93,000,538.93
2013-04-25,537.94,537.94,537.94,537.94,000,537.94
2013-04-24,536.14,536.14,536.14,536.14,000,536.14
2013-04-23,530.56,530.56,530.56,530.56,000,530.56
2013-04-22,524.65,524.65,524.65,524.65,000,524.65
2013-04-19,524.88,524.88,524.88,524.88,000,524.88
2013-04-18,523.21,523.21,523.21,523.21,000,523.21
2013-04-17,524.52,524.52,524.52,524.52,000,524.52
2013-04-16,530.71,530.71,530.71,530.71,000,530.71
2013-04-15,534.42,534.42,534.42,534.42,000,534.42
2013-04-12,535.48,535.48,535.48,535.48,000,535.48
2013-04-11,541.45,541.45,541.45,541.45,000,541.45
2013-04-10,537.44,537.44,537.44,537.44,000,537.44
2013-04-09,532.32,532.32,532.32,532.32,000,532.32
2013-04-08,532.91,532.91,532.91,532.91,000,532.91
2013-04-05,527.08,527.08,527.08,527.08,000,527.08
2013-04-04,535.60,535.60,535.60,535.60,000,535.60
2013-04-03,543.50,543.50,543.50,543.50,000,543.50
2013-04-02,540.62,540.62,540.62,540.62,000,540.62
2013-03-27,534.47,534.47,534.47,534.47,000,534.47
2013-03-26,538.77,538.77,538.77,538.77,000,538.77
2013-03-25,536.21,536.21,536.21,536.21,000,536.21
2013-03-22,534.24,534.24,534.24,534.24,000,534.24
2013-03-21,537.06,537.06,537.06,537.06,000,537.06
2013-03-20,541.85,541.85,541.85,541.85,000,541.85
2013-03-19,544.66,544.66,544.66,544.66,000,544.66
2013-03-18,543.70,543.70,543.70,543.70,000,543.70
2013-03-15,554.75,554.75,554.75,554.75,000,554.75
2013-03-14,554.81,554.81,554.81,554.81,000,554.81
2013-03-13,555.82,555.82,555.82,555.82,000,555.82
2013-03-12,554.46,554.46,554.46,554.46,000,554.46
2013-03-11,554.94,554.94,554.94,554.94,000,554.94
2013-03-08,552.76,552.76,552.76,552.76,000,552.76
2013-03-07,552.03,552.03,552.03,552.03,000,552.03
2013-03-06,557.76,557.76,557.76,557.76,000,557.76
2013-03-05,562.55,562.55,562.55,562.55,000,562.55
2013-03-04,556.56,556.56,556.56,556.56,000,556.56
2013-03-01,549.11,549.11,549.11,549.11,000,549.11
2013-02-28,546.54,546.54,546.54,546.54,000,546.54
2013-02-27,543.04,543.04,543.04,543.04,000,543.04
2013-02-26,544.78,544.78,544.78,544.78,000,544.78
2013-02-25,543.41,543.41,543.41,543.41,000,543.41
2013-02-22,539.48,539.48,539.48,539.48,000,539.48
2013-02-21,536.13,536.13,536.13,536.13,000,536.13
2013-02-20,540.30,540.30,540.30,540.30,000,540.30
2013-02-19,534.17,534.17,534.17,534.17,000,534.17
2013-02-18,528.85,528.85,528.85,528.85,000,528.85
2013-02-15,531.89,531.89,531.89,531.89,000,531.89
2013-02-14,531.54,531.54,531.54,531.54,000,531.54
2013-02-13,527.35,527.35,527.35,527.35,000,527.35
2013-02-12,522.43,522.43,522.43,522.43,000,522.43
2013-02-11,520.37,520.37,520.37,520.37,000,520.37
2013-02-08,556.88,556.88,556.88,556.88,000,556.88
2013-02-07,553.46,553.46,553.46,553.46,000,553.46
2013-02-06,551.71,551.71,551.71,551.71,000,551.71
2013-02-05,552.40,552.40,552.40,552.40,000,552.40
2013-02-04,547.74,547.74,547.74,547.74,000,547.74
2013-02-01,547.66,547.66,547.66,547.66,000,547.66
2013-01-31,535.73,535.73,535.73,535.73,000,535.73
2013-01-30,541.05,541.05,541.05,541.05,000,541.05
2013-01-29,539.49,539.49,539.49,539.49,000,539.49
2013-01-28,539.03,539.03,539.03,539.03,000,539.03
2013-01-25,541.83,541.83,541.83,541.83,000,541.83
2013-01-24,536.63,536.63,536.63,536.63,000,536.63
2013-01-23,537.92,537.92,537.92,537.92,000,537.92
2013-01-22,535.31,535.31,535.31,535.31,000,535.31
2013-01-21,534.77,534.77,534.77,534.77,000,534.77
2013-01-18,530.26,530.26,530.26,530.26,000,530.26
